,data_mes,satelite,bioma,qtd
0,2013-01-01,AQUA_M-T,Amazônia,1181
1,2013-01-01,AQUA_M-T,Caatinga,340
2,2013-01-01,AQUA_M-T,Cerrado,475
3,2013-01-01,AQUA_M-T,Mata Atlântica,412
4,2013-01-01,AQUA_M-T,Pampa,28
5,2013-01-01,AQUA_M-T,Pantanal,108
6,2013-01-01,NPP-375,Amazônia,8385
7,2013-01-01,NPP-375,Caatinga,3803
8,2013-01-01,NPP-375,Cerrado,2796
9,2013-01-01,NPP-375,Mata Atlântica,5740
10,2013-01-01,NPP-375,Pampa,272
11,2013-01-01,NPP-375,Pantanal,952
12,2013-02-01,AQUA_M-T,Amazônia,374
13,2013-02-01,AQUA_M-T,Caatinga,207
14,2013-02-01,AQUA_M-T,Cerrado,604
15,2013-02-01,AQUA_M-T,Mata Atlântica,430
16,2013-02-01,AQUA_M-T,Pampa,46
17,2013-02-01,AQUA_M-T,Pantanal,55
18,2013-02-01,NPP-375,Amazônia,1470
19,2013-02-01,NPP-375,Caatinga,2330
20,2013-02-01,NPP-375,Cerrado,3197
21,2013-02-01,NPP-375,Mata Atlântica,4027
22,2013-02-01,NPP-375,Pampa,303
23,2013-02-01,NPP-375,Pantanal,611
24,2013-03-01,AQUA_M-T,Amazônia,738
25,2013-03-01,AQUA_M-T,Caatinga,219
26,2013-03-01,AQUA_M-T,Cerrado,613
27,2013-03-01,AQUA_M-T,Mata Atlântica,549
28,2013-03-01,AQUA_M-T,Pampa,50
29,2013-03-01,AQUA_M-T,Pantanal,115
30,2013-03-01,NPP-375,Amazônia,3798
31,2013-03-01,NPP-375,Caatinga,2094
32,2013-03-01,NPP-375,Cerrado,2091
33,2013-03-01,NPP-375,Mata Atlântica,4809
34,2013-03-01,NPP-375,Pampa,592
35,2013-03-01,NPP-375,Pantanal,821
36,2013-03-01,NPP-375,,1
37,2013-04-01,AQUA_M-T,Amazônia,518
38,2013-04-01,AQUA_M-T,Caatinga,71
39,2013-04-01,AQUA_M-T,Cerrado,706
40,2013-04-01,AQUA_M-T,Mata Atlântica,488
41,2013-04-01,AQUA_M-T,Pampa,57
42,2013-04-01,AQUA_M-T,Pantanal,51
43,2013-04-01,NPP-375,Amazônia,2439
44,2013-04-01,NPP-375,Caatinga,1099
45,2013-04-01,NPP-375,Cerrado,3358
46,2013-04-01,NPP-375,Mata Atlântica,3835
47,2013-04-01,NPP-375,Pampa,417
48,2013-04-01,NPP-375,Pantanal,378
49,2013-05-01,AQUA_M-T,Amazônia,796
50,2013-05-01,AQUA_M-T,Caatinga,73
51,2013-05-01,AQUA_M-T,Cerrado,1418
52,2013-05-01,AQUA_M-T,Mata Atlântica,478
53,2013-05-01,AQUA_M-T,Pampa,32
54,2013-05-01,AQUA_M-T,Pantanal,47
55,2013-05-01,NPP-375,Amazônia,5408
56,2013-05-01,NPP-375,Caatinga,789
57,2013-05-01,NPP-375,Cerrado,8802
58,2013-05-01,NPP-375,Mata Atlântica,3824
59,2013-05-01,NPP-375,Pampa,134
60,2013-05-01,NPP-375,Pantanal,353
61,2013-06-01,AQUA_M-T,Amazônia,1450
62,2013-06-01,AQUA_M-T,Caatinga,125
