,data_mes,satelite,qtd
0,2013-01-01,AQUA_M-T,2544
1,2013-01-01,NPP-375,21948
2,2013-02-01,AQUA_M-T,1716
3,2013-02-01,NPP-375,11938
4,2013-03-01,AQUA_M-T,2284
5,2013-03-01,NPP-375,14206
6,2013-04-01,AQUA_M-T,1891
7,2013-04-01,NPP-375,11526
8,2013-05-01,AQUA_M-T,2844
9,2013-05-01,NPP-375,19310
10,2013-06-01,AQUA_M-T,4665
11,2013-06-01,NPP-375,29514
12,2013-07-01,AQUA_M-T,8794
13,2013-07-01,NPP-375,54878
14,2013-08-01,AQUA_M-T,21410
15,2013-08-01,NPP-375,139283
16,2013-09-01,AQUA_M-T,36019
17,2013-09-01,NPP-375,248524
18,2013-10-01,AQUA_M-T,22159
19,2013-10-01,NPP-375,162176
20,2013-11-01,AQUA_M-T,11955
21,2013-11-01,NPP-375,70031
22,2013-12-01,AQUA_M-T,11868
23,2013-12-01,NPP-375,64776
24,2014-01-01,AQUA_M-T,3045
25,2014-01-01,NPP-375,23443
26,2014-02-01,AQUA_M-T,1374
27,2014-02-01,NPP-375,12337
28,2014-03-01,AQUA_M-T,1929
29,2014-03-01,NPP-375,12116
30,2014-04-01,AQUA_M-T,2024
31,2014-04-01,NPP-375,10619
32,2014-05-01,AQUA_M-T,2931
33,2014-05-01,NPP-375,17363
34,2014-06-01,AQUA_M-T,6212
35,2014-06-01,NPP-375,39272
36,2014-07-01,AQUA_M-T,10529
37,2014-07-01,NPP-375,69127
38,2014-08-01,AQUA_M-T,40845
39,2014-08-01,NPP-375,266059
40,2014-09-01,AQUA_M-T,42049
41,2014-09-01,NPP-375,304272
42,2014-10-01,AQUA_M-T,36572
43,2014-10-01,NPP-375,280782
44,2014-11-01,AQUA_M-T,17667
45,2014-11-01,NPP-375,106039
46,2014-12-01,AQUA_M-T,10723
47,2014-12-01,NPP-375,61336
48,2015-01-01,AQUA_M-T,4317
49,2015-01-01,NPP-375,33228
50,2015-02-01,AQUA_M-T,2026
51,2015-02-01,NPP-375,15867
52,2015-03-01,AQUA_M-T,1659
53,2015-03-01,NPP-375,9811
54,2015-04-01,AQUA_M-T,2024
55,2015-04-01,NPP-375,12561
56,2015-05-01,AQUA_M-T,2169
57,2015-05-01,NPP-375,12404
58,2015-06-01,AQUA_M-T,5569
59,2015-06-01,NPP-375,35546
60,2015-07-01,AQUA_M-T,8541
61,2015-07-01,NPP-375,58968
62,2015-08-01,AQUA_M-T,37883
63,2015-08-01,NPP-375,253218
64,2015-09-01,AQUA_M-T,61739
65,2015-09-01,NPP-375,460705
66,2015-10-01,AQUA_M-T,46741
67,2015-10-01,NPP-375,419904
68,2015-11-01,AQUA_M-T,26411
69,2015-11-01,NPP-375,217421
70,2015-12-01,AQUA_M-T,17703
71,2015-12-01,NPP-375,170159
72,2016-01-01,AQUA_M-T,5960
73,2016-01-01,NPP-375,50452
74,2016-02-01,AQUA_M-T,3238
75,2016-02-01,NPP-375,23410
76,2016-03-01,AQUA_M-T,3425
77,2016-03-01,NPP-375,26607
78,2016-04-01,AQUA_M-T,3408
79,2016-04-01,NPP-375,17911
80,2016-05-01,AQUA_M-T,3287
81,2016-05-01,NPP-375,20110
82,2016-06-01,AQUA_M-T,6185
83,2016-06-01,NPP-375,37964
84,2016-07-01,AQUA_M-T,19242
85,2016-07-01,NPP-375,117699
86,2016-08-01,AQUA_M-T,39088
87,2016-08-01,NPP-375,276389
88,2016-09-01,AQUA_M-T,42209
89,2016-09-01,NPP-375,311270
90,2016-10-01,AQUA_M-T,30809
91,2016-10-01,NPP-375,229614
92,2016-11-01,AQUA_M-T,19160
93,2016-11-01,NPP-375,122333
94,2016-12-01,AQUA_M-T,8207
95,2016-12-01,NPP-375,50597
96,2017-01-01,AQUA_M-T,2253
97,2017-01-01,NPP-375,17874
98,2017-02-01,AQUA_M-T,1239
99,2017-02-01,NPP-375,8464
100,2017-03-01,AQUA_M-T,1922
101,2017-03-01,NPP-375,8288
102,2017-04-01,AQUA_M-T,1703
103,2017-04-01,NPP-375,7538
104,2017-05-01,AQUA_M-T,2571
105,2017-05-01,NPP-375,15462
106,2017-06-01,AQUA_M-T,5384
107,2017-06-01,NPP-375,33030
108,2017-07-01,AQUA_M-T,17568
109,2017-07-01,NPP-375,96118
110,2017-08-01,AQUA_M-T,37380
111,2017-08-01,NPP-375,254987
112,2017-09-01,AQUA_M-T,72895
113,2017-09-01,NPP-375,570526
114,2017-10-01,AQUA_M-T,33607
115,2017-10-01,NPP-375,302025
116,2017-11-01,AQUA_M-T,19334
117,2017-11-01,NPP-375,125029
118,2017-12-01,AQUA_M-T,11655
119,2017-12-01,NPP-375,81441
120,2018-01-01,AQUA_M-T,2553
121,2018-01-01,NPP-375,18423
122,2018-02-01,AQUA_M-T,1476
123,2018-02-01,NPP-375,11919
124,2018-03-01,AQUA_M-T,2659
125,2018-03-01,NPP-375,15112
126,2018-04-01,AQUA_M-T,1656
127,2018-04-01,NPP-375,10207
128,2018-05-01,AQUA_M-T,3366
129,2018-05-01,NPP-375,20348
130,2018-06-01,AQUA_M-T,5790
131,2018-06-01,NPP-375,35384
132,2018-07-01,AQUA_M-T,12652
133,2018-07-01,NPP-375,76071
134,2018-08-01,AQUA_M-T,22774
135,2018-08-01,NPP-375,150502
136,2018-09-01,AQUA_M-T,42251
137,2018-09-01,NPP-375,283710
138,2018-10-01,AQUA_M-T,19568
139,2018-10-01,NPP-375,158562
140,2018-11-01,AQUA_M-T,13014
141,2018-11-01,NPP-375,77454
142,2018-12-01,AQUA_M-T,5113
143,2018-12-01,NPP-375,37149
144,2019-01-01,AQUA_M-T,4030
145,2019-01-01,NPP-375,26187
146,2019-02-01,AQUA_M-T,2865
147,2019-02-01,NPP-375,19118
148,2019-03-01,AQUA_M-T,5213
149,2019-03-01,NPP-375,43954
150,2019-04-01,AQUA_M-T,2842
151,2019-04-01,NPP-375,19231
152,2019-05-01,AQUA_M-T,2963
153,2019-05-01,NPP-375,17581
154,2019-06-01,AQUA_M-T,7258
155,2019-06-01,NPP-375,43716
156,2019-07-01,AQUA_M-T,13394
157,2019-07-01,NPP-375,86026
158,2019-08-01,AQUA_M-T,51935
159,2019-08-01,NPP-375,359050
160,2019-09-01,AQUA_M-T,53234
161,2019-09-01,NPP-375,410939
162,2019-10-01,AQUA_M-T,25613
163,2019-10-01,NPP-375,212934
164,2019-11-01,AQUA_M-T,20585
165,2019-11-01,NPP-375,140715
166,2019-12-01,AQUA_M-T,7700
167,2019-12-01,NPP-375,57765
168,2020-01-01,AQUA_M-T,2866
169,2020-01-01,NPP-375,20579
170,2020-02-01,AQUA_M-T,2657
171,2020-02-01,NPP-375,13103
172,2020-03-01,AQUA_M-T,3880
173,2020-03-01,NPP-375,22569
174,2020-04-01,AQUA_M-T,4117
175,2020-04-01,NPP-375,19672
176,2020-05-01,AQUA_M-T,4002
177,2020-05-01,NPP-375,22508
178,2020-06-01,AQUA_M-T,7109
179,2020-06-01,NPP-375,42320
180,2020-07-01,AQUA_M-T,15805
181,2020-07-01,NPP-375,99168
182,2020-08-01,AQUA_M-T,25180
183,2020-08-01,NPP-375,160977
