,data_mes,satelite,id_1,estado,bioma,qtd
0,2012-01-01,AQUA_M-T,11,RONDÔNIA,Amazônia,6
1,2012-01-01,AQUA_M-T,12,ACRE,Amazônia,1
2,2012-01-01,AQUA_M-T,13,AMAZONAS,Amazônia,8
3,2012-01-01,AQUA_M-T,14,RORAIMA,Amazônia,239
4,2012-01-01,AQUA_M-T,15,PARÁ,Amazônia,534
5,2012-01-01,AQUA_M-T,16,AMAPÁ,Amazônia,34
6,2012-01-01,AQUA_M-T,17,TOCANTINS,Cerrado,14
7,2012-01-01,AQUA_M-T,21,MARANHÃO,Amazônia,302
8,2012-01-01,AQUA_M-T,21,MARANHÃO,Caatinga,11
9,2012-01-01,AQUA_M-T,21,MARANHÃO,Cerrado,148
10,2012-01-01,AQUA_M-T,22,PIAUÍ,Caatinga,86
11,2012-01-01,AQUA_M-T,22,PIAUÍ,Cerrado,14
12,2012-01-01,AQUA_M-T,23,CEARÁ,Caatinga,308
13,2012-01-01,AQUA_M-T,24,RIO GRANDE DO NORTE,Caatinga,65
14,2012-01-01,AQUA_M-T,24,RIO GRANDE DO NORTE,Mata Atlântica,1
15,2012-01-01,AQUA_M-T,25,PARAÍBA,Caatinga,52
16,2012-01-01,AQUA_M-T,25,PARAÍBA,Mata Atlântica,2
17,2012-01-01,AQUA_M-T,26,PERNAMBUCO,Caatinga,128
18,2012-01-01,AQUA_M-T,26,PERNAMBUCO,Mata Atlântica,33
19,2012-01-01,AQUA_M-T,27,ALAGOAS,Caatinga,11
20,2012-01-01,AQUA_M-T,27,ALAGOAS,Mata Atlântica,32
21,2012-01-01,AQUA_M-T,28,SERGIPE,Caatinga,17
22,2012-01-01,AQUA_M-T,28,SERGIPE,Mata Atlântica,23
23,2012-01-01,AQUA_M-T,29,BAHIA,Caatinga,103
24,2012-01-01,AQUA_M-T,29,BAHIA,Cerrado,55
25,2012-01-01,AQUA_M-T,29,BAHIA,Mata Atlântica,68
26,2012-01-01,AQUA_M-T,31,MINAS GERAIS,Caatinga,7
27,2012-01-01,AQUA_M-T,31,MINAS GERAIS,Cerrado,58
28,2012-01-01,AQUA_M-T,31,MINAS GERAIS,Mata Atlântica,25
29,2012-01-01,AQUA_M-T,33,RIO DE JANEIRO,Mata Atlântica,6
30,2012-01-01,AQUA_M-T,35,SÃO PAULO,Cerrado,26
31,2012-01-01,AQUA_M-T,35,SÃO PAULO,Mata Atlântica,23
32,2012-01-01,AQUA_M-T,41,PARANÁ,Cerrado,1
33,2012-01-01,AQUA_M-T,41,PARANÁ,Mata Atlântica,45
34,2012-01-01,AQUA_M-T,42,SANTA CATARINA,Mata Atlântica,25
35,2012-01-01,AQUA_M-T,43,RIO GRANDE DO SUL,Mata Atlântica,18
36,2012-01-01,AQUA_M-T,43,RIO GRANDE DO SUL,Pampa,61
37,2012-01-01,AQUA_M-T,50,MATO GROSSO DO SUL,Cerrado,28
38,2012-01-01,AQUA_M-T,50,MATO GROSSO DO SUL,Mata Atlântica,14
39,2012-01-01,AQUA_M-T,50,MATO GROSSO DO SUL,Pantanal,145
40,2012-01-01,AQUA_M-T,51,MATO GROSSO,Amazônia,79
41,2012-01-01,AQUA_M-T,51,MATO GROSSO,Cerrado,57
42,2012-01-01,AQUA_M-T,51,MATO GROSSO,Pantanal,43
43,2012-01-01,AQUA_M-T,52,GOIÁS,Cerrado,20
44,2012-01-01,AQUA_M-T,52,GOIÁS,Mata Atlântica,2
45,2012-01-01,NPP-375,11,RONDÔNIA,Amazônia,8
46,2012-01-01,NPP-375,12,ACRE,Amazônia,2
47,2012-01-01,NPP-375,13,AMAZONAS,Amazônia,13
48,2012-01-01,NPP-375,14,RORAIMA,Amazônia,642
49,2012-01-01,NPP-375,15,PARÁ,Amazônia,426
50,2012-01-01,NPP-375,16,AMAPÁ,Amazônia,1
51,2012-01-01,NPP-375,17,TOCANTINS,Cerrado,32
52,2012-01-01,NPP-375,21,MARANHÃO,Amazônia,179
53,2012-01-01,NPP-375,21,MARANHÃO,Caatinga,9
54,2012-01-01,NPP-375,21,MARANHÃO,Cerrado,87
55,2012-01-01,NPP-375,22,PIAUÍ,Caatinga,125
56,2012-01-01,NPP-375,22,PIAUÍ,Cerrado,26
57,2012-01-01,NPP-375,23,CEARÁ,Caatinga,280
58,2012-01-01,NPP-375,24,RIO GRANDE DO NORTE,Caatinga,149
59,2012-01-01,NPP-375,24,RIO GRANDE DO NORTE,Mata Atlântica,12
60,2012-01-01,NPP-375,25,PARAÍBA,Caatinga,53
61,2012-01-01,NPP-375,25,PARAÍBA,Mata Atlântica,11
62,2012-01-01,NPP-375,26,PERNAMBUCO,Caatinga,135
63,2012-01-01,NPP-375,26,PERNAMBUCO,Mata Atlântica,33
64,2012-01-01,NPP-375,27,ALAGOAS,Caatinga,55
65,2012-01-01,NPP-375,27,ALAGOAS,Mata Atlântica,48
66,2012-01-01,NPP-375,28,SERGIPE,Caatinga,61
67,2012-01-01,NPP-375,28,SERGIPE,Mata Atlântica,30
68,2012-01-01,NPP-375,29,BAHIA,Caatinga,384
69,2012-01-01,NPP-375,29,BAHIA,Cerrado,145
70,2012-01-01,NPP-375,29,BAHIA,Mata Atlântica,249
71,2012-01-01,NPP-375,31,MINAS GERAIS,Caatinga,22
72,2012-01-01,NPP-375,31,MINAS GERAIS,Cerrado,171
73,2012-01-01,NPP-375,31,MINAS GERAIS,Mata Atlântica,160
74,2012-01-01,NPP-375,32,ESPÍRITO SANTO,Mata Atlântica,32
75,2012-01-01,NPP-375,33,RIO DE JANEIRO,Mata Atlântica,34
76,2012-01-01,NPP-375,35,SÃO PAULO,Cerrado,136
77,2012-01-01,NPP-375,35,SÃO PAULO,Mata Atlântica,145
78,2012-01-01,NPP-375,41,PARANÁ,Mata Atlântica,280
79,2012-01-01,NPP-375,42,SANTA CATARINA,Mata Atlântica,124
80,2012-01-01,NPP-375,43,RIO GRANDE DO SUL,Mata Atlântica,90
81,2012-01-01,NPP-375,43,RIO GRANDE DO SUL,Pampa,328
82,2012-01-01,NPP-375,50,MATO GROSSO DO SUL,Cerrado,57
83,2012-01-01,NPP-375,50,MATO GROSSO DO SUL,Mata Atlântica,44
84,2012-01-01,NPP-375,50,MATO GROSSO DO SUL,Pantanal,173
85,2012-01-01,NPP-375,51,MATO GROSSO,Amazônia,77
86,2012-01-01,NPP-375,51,MATO GROSSO,Cerrado,31
87,2012-01-01,NPP-375,51,MATO GROSSO,Pantanal,23
88,2012-01-01,NPP-375,52,GOIÁS,Cerrado,86
89,2012-01-01,NPP-375,52,GOIÁS,Mata Atlântica,3
90,2012-01-01,NPP-375,53,DISTRITO FEDERAL,Cerrado,3
91,2012-02-01,AQUA_M-T,11,RONDÔNIA,Amazônia,9
92,2012-02-01,AQUA_M-T,13,AMAZONAS,Amazônia,8
93,2012-02-01,AQUA_M-T,14,RORAIMA,Amazônia,172
94,2012-02-01,AQUA_M-T,15,PARÁ,Amazônia,78
95,2012-02-01,AQUA_M-T,16,AMAPÁ,Amazônia,8
96,2012-02-01,AQUA_M-T,17,TOCANTINS,Amazônia,2
97,2012-02-01,AQUA_M-T,17,TOCANTINS,Cerrado,49
98,2012-02-01,AQUA_M-T,21,MARANHÃO,Amazônia,27
99,2012-02-01,AQUA_M-T,21,MARANHÃO,Caatinga,4
100,2012-02-01,AQUA_M-T,21,MARANHÃO,Cerrado,53
101,2012-02-01,AQUA_M-T,22,PIAUÍ,Caatinga,7
102,2012-02-01,AQUA_M-T,22,PIAUÍ,Cerrado,31
103,2012-02-01,AQUA_M-T,23,CEARÁ,Caatinga,44
104,2012-02-01,AQUA_M-T,24,RIO GRANDE DO NORTE,Caatinga,16
105,2012-02-01,AQUA_M-T,25,PARAÍBA,Caatinga,15
106,2012-02-01,AQUA_M-T,25,PARAÍBA,Mata Atlântica,4
107,2012-02-01,AQUA_M-T,26,PERNAMBUCO,Caatinga,62
108,2012-02-01,AQUA_M-T,26,PERNAMBUCO,Mata Atlântica,13
109,2012-02-01,AQUA_M-T,27,ALAGOAS,Caatinga,22
110,2012-02-01,AQUA_M-T,27,ALAGOAS,Mata Atlântica,30
111,2012-02-01,AQUA_M-T,28,SERGIPE,Caatinga,14
112,2012-02-01,AQUA_M-T,28,SERGIPE,Mata Atlântica,22
113,2012-02-01,AQUA_M-T,29,BAHIA,Caatinga,57
114,2012-02-01,AQUA_M-T,29,BAHIA,Cerrado,67
115,2012-02-01,AQUA_M-T,29,BAHIA,Mata Atlântica,118
116,2012-02-01,AQUA_M-T,31,MINAS GERAIS,Caatinga,2
117,2012-02-01,AQUA_M-T,31,MINAS GERAIS,Cerrado,90
118,2012-02-01,AQUA_M-T,31,MINAS GERAIS,Mata Atlântica,48
119,2012-02-01,AQUA_M-T,32,ESPÍRITO SANTO,Mata Atlântica,27
120,2012-02-01,AQUA_M-T,33,RIO DE JANEIRO,Mata Atlântica,12
121,2012-02-01,AQUA_M-T,35,SÃO PAULO,Cerrado,63
122,2012-02-01,AQUA_M-T,35,SÃO PAULO,Mata Atlântica,47
123,2012-02-01,AQUA_M-T,41,PARANÁ,Mata Atlântica,77
124,2012-02-01,AQUA_M-T,42,SANTA CATARINA,Mata Atlântica,34
125,2012-02-01,AQUA_M-T,43,RIO GRANDE DO SUL,Mata Atlântica,9
126,2012-02-01,AQUA_M-T,43,RIO GRANDE DO SUL,Pampa,34
127,2012-02-01,AQUA_M-T,50,MATO GROSSO DO SUL,Cerrado,36
128,2012-02-01,AQUA_M-T,50,MATO GROSSO DO SUL,Mata Atlântica,13
129,2012-02-01,AQUA_M-T,50,MATO GROSSO DO SUL,Pantanal,78
130,2012-02-01,AQUA_M-T,51,MATO GROSSO,Amazônia,134
